EUW1_7582683099,3,1,KB KEMONO,KB KAIJU,
EUW1_7587035231,4,1,KB CHIRU,KB KAIJU,
EUW1_7598229269,5,1,KB KAIJU,KB TORA,
EUW1_7566027951,1,1,KB SARU,KB KAIJU,

EUW1_7611126781,SUIZO 2,1,KB KANJI,KB CHIRU,
EUW1_7606256233,SUIZO 1,1,KB TORA,KB KANJI,
EUW1_7598009557,5,1,KB AMATERATSU,KB KANJI,
EUW1_7590349762,4,1,KB KANJI,KB KAMIKAZE,
EUW1_7590349762,3,1,KB KANJI,KB DORAGON,
EUW1_7573950858,2,1,KB KANJI,KB KURU,
EUW1_7566180029,1,1,KB PSF,KB KANJI,

EUW1_7594598146,5,1,KB DORAGON,KB KAMIKAZE,
EUW1_7579795155,3,1,KB KAMIKAZE,KB KURU,
EUW1_7590349762,4,1,KB KANJI,KB KAMIKAZE,
EUW1_7565973424,1,1,KB KAMIKAZE,KB ATSUI,

EUW1_7593602472,5,1,KB CHIRU,KB SARU,
EUW1_7590064207,4,1,KB SARU,KB KEMONO,
EUW1_7582584009,3,1,KB BUSHI,KB SARU,
EUW1_7574083472,2,1,KB TORA,KB SARU,
EUW1_7566027951,1,1,KB SARU,KB KAIJU,

EUW1_7615113357,SUIZO 2,1,KB KEMONO,KB BUSHI,
EUW1_7606371570,SUIZO 1,1,KB AMATERATSU,KB KEMONO,
EUW1_7573837442,2,1,KB CHIRU,KB KEMONO,
EUW1_7582683099,3,1,KB KEMONO,KB KAIJU,
EUW1_7598115666,5,1,KB KEMONO,KB BUSHI,
EUW1_7590064207,4,1,KB SARU,KB KEMONO,
EUW1_7566151786,1,1,KB TORA,KB KEMONO,

EUW1_7566077306,1,1,KB DORAGON,KB KURU,
EUW1_7568336488,2,1,KB ATSUI,KB DORAGON,
EUW1_7582367983,3,1,KB KANJI,KB DORAGON,
EUW1_7594598146,5,1,KB DORAGON,KB KAMIKAZE,
EUW1_7606132158,SUIZO 1,1,KB BUSHI,KB DORAGON,

EUW1_7565935606,1,1,KB BUSHI,KB CHIRU,
EUW1_7587035231,4,1,KB CHIRU,KB KAIJU,
EUW1_7593602472,5,1,KB CHIRU,KB SARU,
EUW1_7603950046,SUIZO 1,1,KB CHIRU,KB PSF,
EUW1_7611126781,SUIZO 2,1,KB KANJI,KB CHIRU,

EUW1_7598009557,5,1,KB AMATERATSU,KB KANJI,
EUW1_7606371570,SUIZO 1,1,KB AMATERATSU,KB KEMONO,
EUW1_7616488336,SUIZO 3,1,KB PSF,KB AMATERATSU,

EUW1_7566077306,1,1,KB DORAGON,KB KURU,
EUW1_7573950858,2,1,KB KANJI,KB KURU,
EUW1_7579795155,3,1,KB KAMIKAZE,KB KURU,
EUW1_7597710180,5,1,KB PSF,KB KURU,

EUW1_7566180029,1,1,KB PSF,KB KANJI,

EUW1_7582471352,3,1,KB PSF,KB AMATERATSU,
EUW1_7590242869,4,1,KB DORAGON,KB PSF,
EUW1_7597710180,5,1,KB PSF,KB KURU,
EUW1_7616488336,SUIZO 3,1,KB AMATERATSU,KB PSF,

EUW1_7568336488,2,1,KB ATSUI,KB DORAGON,
EUW1_7566180029,1,1,KB PSF,KB KANJI,

EUW1_7565935606,1,1,KB BUSHI,KB CHIRU,

EUW1_7582584009,3,1,KB BUSHI,KB SARU,
EUW1_7590568253,4,1,KB BUSHI,KB TORA,
EUW1_7615113357,5,1,KB KEMONO,KB BUSHI,
EUW1_7606132158,SUIZO 1,1,KB BUSHI,KB DORAGON,
EUW1_7615113357,SUIZO 2,1,KB KEMONO,KB BUSHI,

EUW1_7566151786,1,1,KB TORA,KB KEMONO,
EUW1_7574083472,2,1,KB TORA,KB SARU,
EUW1_7582292704,3,1,KB TORA,KB CHIRU,
EUW1_7590568253,4,1,KB BUSHI,KB TORA,
EUW1_7598229269,5,1,KB KAIJU,KB TORA,
EUW1_7606256233,SUIZO 1,1,KB TORA,KB KANJI,
EUW1_7614983375,SUIZO 2,1,KB TORA,KB PSF,
EUW1_7617498772,SUIZO 3,1,KB KEMONO,KB CHIRU,
EUW1_7615252451,SUIZO 2,1,KB AMATERATSU,KB DORAGON,

EUW1_7634807976,PLAYOFFS CUARTOS,1,KB DORAGON,KB SARU,
EUW1_7634944091,PLAYOFFS CUARTOS,2,KB SARU,KB DORAGON,

EUW1_7633397770,PLAYOFFS CUARTOS,1,KB PSF,KB KAMIKAZE,
EUW1_7633554399,PLAYOFFS CUARTOS,2,KB KAMIKAZE,KB PSF,

EUW1_7633271325,PLAYOFFS CUARTOS,1,KB KAIJU,KB KEMONO,
EUW1_7633391294,PLAYOFFS CUARTOS,2,KB KEMONO,KB KAIJU,

EUW1_7636083510,PLAYOFFS CUARTOS,1,KB TORA,KB KURU,
EUW1_7636203403,PLAYOFFS CUARTOS,2,KB KURU,KB TORA,

,2,1,KB KAMIKAZE,KB PSF,
,2,1,KB BUSHI,KB KAIJU,
,4,1,KB KURU,KB AMATERATSU,

EUW1_7643423537,PLAYOFFS SEMIFINAL,1,KB KAMIKAZE,KB SARU,
EUW1_7643541967,PLAYOFFS SEMIFINAL,2,KB SARU,KB KAMIKAZE,

EUW1_7646104680,PLAYOFFS SEMIFINAL,1,KB KAIJU,KB KURU,
EUW1_7646232493,PLAYOFFS SEMIFINAL,2,KB KURU,KB KAIJU,
